repo_name,category,file_path,line_number,keyword,debt_type,sdlc_phase,line_content,debt_category,severity,rationale,is_false_positive,original_index
open-mmlab/mmdetection3d,Computer Vision,tools/test.py,129,TODO,Requirement Debt,P3_Model_Development,# TODO: Support tta for 3D detection,Model Dependency Debt,3,"The codebase lacks support for Test-Time Augmentation (TTA) in 3D detection, which may impact model performance and reliability.",False,183
tryolabs/norfair,Computer Vision,norfair/drawing/draw_points.py,232,TODO,Requirement Debt,P3_Model_Development,# TODO: We used to have this function to debug,Code Debt,2,"The TODO comment suggests a previously used function for debugging that has been removed, indicating a potential refactoring opportunity.",False,184
facebookresearch/vissl,Computer Vision,tests/test_dino_xcit.py,75,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Test Debt,3,"The use of with in_temporary_directory() suggests a temporary solution for testing, which may not be ideal for production environments.",False,185
apple/ml-4m,Computer Vision,fourm/demo_4M_sampler.py,70,TEMP,Design Debt,P3_Model_Development,"'token_decoding_schedule': None, 'temp': 0.1, 'temp_schedule': 'constant',",Code Debt,3,"The use of a hardcoded temperature value (0.1) in the 'temp' variable may not be easily configurable or adaptable to different scenarios, violating the principle of modularity.",False,186
facebookresearch/Detectron,Computer Vision,detectron/modeling/model_builder.py,99,TODO,Requirement Debt,P3_Model_Development,# TODO(rbg): fold into build_generic_detection_model,Code Debt,3,The TODO comment indicates a refactoring opportunity to improve code organization and maintainability.,False,187
facebookresearch/vissl,Computer Vision,tests/test_distillation_swav.py,16,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be ideal for long-term maintainability.",False,188
facebookresearch/vissl,Computer Vision,tests/test_dino_swin_t.py,11,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be ideal for a production-ready model.",False,189
facebookresearch/vissl,Computer Vision,tests/test_dino_deit_fsdp.py,135,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Test Debt,3,"The use of with in_temporary_directory() suggests a temporary solution for testing, which may not be ideal for production environments.",False,190
facebookresearch/vissl,Computer Vision,tests/test_lin_eval.py,54,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Test Debt,3,"The use of with in_temporary_directory() suggests a temporary solution for testing, which may not be ideal for long-term maintainability.",False,191
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,88,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own optimizer,Code Debt,3,"The TODO comment indicates a need to refactor or update the code to align with the project's optimizer, which is a code-level technical debt.",False,192
open-mmlab/mmtracking,Computer Vision,tools/test.py,67,XXX,Design Debt,P3_Model_Development,'in xxx=yyy format will be merged into config file.'),Configuration Debt,3,"The code is hardcoded with a specific format that will be merged into a config file, indicating a potential configuration debt.",False,193
open-mmlab/mmdetection3d,Computer Vision,demo/multi_modality_demo.py,87,TODO,Requirement Debt,P3_Model_Development,# TODO: Support inference of point cloud numpy file.,Code Debt,3,"The TODO comment indicates a missing feature implementation in the codebase, which is a code debt issue.",False,194
apple/ml-4m,Computer Vision,fourm/models/generate.py,308,TEMP,Design Debt,P3_Model_Development,"'temperature': temp,",Code Debt,3,"The use of the keyword 'TEMP' in the code suggests a temporary or workaround solution, which may not be ideal for long-term maintainability.",False,195
facebookresearch/vissl,Computer Vision,tests/test_finetuning.py,338,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary workaround for a potential issue, indicating a code debt related to handling temporary directories.",False,196
cleanlab/cleanlab,Computer Vision,tests/test_segmentation.py,342,TEMP,Design Debt,P3_Model_Development,"_get_label_quality_per_image(empty_score_array, method=""softmin"", temperature=temp)",Code Debt,3,"The use of the keyword TEMP in the comment suggests a temporary or experimental solution, which may not be properly refactored or removed, leading to technical debt.",False,197
facebookresearch/vissl,Computer Vision,tests/test_dino_swin_t.py,75,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary workaround for testing purposes, which may not be ideal for production code.",False,198
open-mmlab/mmtracking,Computer Vision,mmtrack/apis/inference.py,48,TEMP,Design Debt,P3_Model_Development,# Creating a temporary file to record the information of initialized,Code Debt,3,The use of a temporary file for recording information is a code smell indicating a potential design issue.,False,199
facebookresearch/vissl,Computer Vision,tests/test_dino_deit_fsdp.py,20,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be ideal for a production-ready model.",False,200
apple/ml-4m,Computer Vision,run_training_vqcontrolnet.py,1127,TODO,Requirement Debt,P3_Model_Development,# TODO: Implement for other domains,Model Dependency Debt,3,"The code is hardcoded to only implement VQ-VAE control net for a specific domain, limiting its applicability to other domains.",False,201
cleanlab/cleanlab,Computer Vision,tests/test_classification.py,763,TODO,Requirement Debt,P3_Model_Development,)  # TODO: Remove this line once sklearn 1.5.1 is released,Code Debt,2,The TODO comment indicates a temporary fix that should be removed once a specific version of sklearn is released.,False,202
apple/ml-4m,Computer Vision,fourm/models/generate.py,1129,TEMP,Design Debt,P3_Model_Development,"mod_dict, target_mod, num_select, temperature=temp,",Code Debt,3,"The use of the keyword TEMP in the function parameter name suggests a temporary or hardcoded value, which may indicate a code smell or a potential issue with the model's temperature parameter.",False,203
open-mmlab/mmdetection3d,Computer Vision,.dev_scripts/gather_models.py,46,TODO,Requirement Debt,P3_Model_Development,# TODO: add support for lyft dataset,Model Dependency Debt,2,"The codebase lacks support for the Lyft dataset, indicating a dependency on specific data sources.",False,204
cleanlab/cleanlab,Computer Vision,cleanlab/version.py,138,BUG,Defect Debt,P3_Model_Development,# 0.0.14 - Major bug fix in classification. Unused param broke code.,Defect Debt,5,A major bug fix was required due to an unused parameter breaking the code.,False,205
facebookresearch/vissl,Computer Vision,tests/test_extract_features.py,101,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as pretrain_dir:,Code Debt,3,The use of a temporary directory in a test file may indicate a lack of proper cleanup or resource management.,False,206
cleanlab/cleanlab,Computer Vision,cleanlab/experimental/mnist_pytorch.py,224,XXX,Design Debt,P3_Model_Development,# XXX this is a pretty weird sklearn estimator that does data loading,Code Debt,3,"The comment suggests that the code is not following standard practices, indicating a deviation from best coding standards.",False,207
apple/ml-4m,Computer Vision,fourm/data/masking.py,509,TODO,Requirement Debt,P1_Data_Collection,"tensor[i_, :] = torch.zeros_like(emb_tensor[0,:]) # TODO replace to learned embeddings later",Code Debt,3,"The TODO comment indicates a temporary fix that needs to be replaced with a more permanent solution, affecting the maintainability of the code.",False,208
facebookresearch/vissl,Computer Vision,extra_scripts/convert_caffe2_to_torchvision_resnet.py,12,NOQA,Test Debt,P3_Model_Development,https://github.com/facebookresearch/fair_self_supervision_benchmark/blob/master/extra_scripts/pickle_caffe2_to_pytorch.py # NOQA,Code Debt,3,"The code is copying and modifying an existing script from another repository without proper refactoring or documentation, indicating a lack of maintainability and reusability.",False,209
open-mmlab/mmtracking,Computer Vision,mmtrack/datasets/got10k_dataset.py,129,XXX,Design Debt,P1_Data_Collection,like resfile_path=xxx in argparse',Code Debt,3,The use of XXX in the code without proper explanation or documentation may lead to confusion and maintenance issues in the future.,False,210
google-deepmind/dm_pix,Computer Vision,dm_pix/_src/augment_test.py,191,BUG,Defect Debt,P3_Model_Development,"# Due to a bug in scipy we cannot test all available modes, refer to these",Defect Debt,4,"The code is unable to test all available modes due to a bug in scipy, which is a critical defect.",False,211
cleanlab/cleanlab,Computer Vision,tests/test_segmentation.py,332,TEMP,Design Debt,P3_Model_Development,"score = _get_label_quality_per_image(random_score_array, method=""softmin"", temperature=temp)",Code Debt,3,"The use of the keyword TEMP suggests a temporary or hardcoded value, which can lead to code fragility and make it harder to maintain.",False,212
facebookresearch/vissl,Computer Vision,tests/test_ibot.py,12,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be ideal for long-term maintainability.",False,213
cleanlab/cleanlab,Computer Vision,tests/test_segmentation.py,335,TEMP,Design Debt,P3_Model_Development,"np.expand_dims(random_score_array, axis=0), axis=1, temperature=temp",Code Debt,3,"The use of TEMP keyword and np.expand_dims function suggests a temporary or workaround solution in the code, indicating a potential code debt issue.",False,214
apple/ml-4m,Computer Vision,fourm/data/multimodal_dataset_folder.py,99,XXX,Design Debt,P1_Data_Collection,root/class_x/xxx.ext,Code Debt,3,"The use of XXX in the file path may indicate a hardcoded or magic value, which can make the code harder to maintain and understand.",False,215
apple/ml-4m,Computer Vision,fourm/models/generate.py,1117,TEMP,Design Debt,P3_Model_Development,temp = schedule_step_info['temperature'],Code Debt,3,"The use of the keyword 'TEMP' and the variable 'temp' suggests a temporary or placeholder solution, indicating a potential code debt issue.",False,216
facebookresearch/vissl,Computer Vision,tests/test_distillation_swav.py,318,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary workaround for a potential issue, indicating a code debt related to handling temporary directories.",False,217
facebookresearch/vissl,Computer Vision,tests/test_distillation.py,72,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Test Debt,3,"The use of with in_temporary_directory() suggests a temporary solution for testing, which may not be ideal for production environments.",False,218
facebookresearch/vissl,Computer Vision,tests/test_distillation_dino.py,59,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as pretrain_dir:,Code Debt,3,The use of a temporary directory in a test file may lead to code duplication and make the test less maintainable.,False,219
open-mmlab/mmtracking,Computer Vision,configs/reid/resnet50_b32x8_MOT17.py,29,NOQA,Test Debt,P3_Model_Development,checkpoint=  # noqa: E251,Code Debt,3,"The use of noqa: E251 is a code debt as it indicates a potential issue with the code's adherence to PEP 8 style conventions, but does not prevent the code from functioning correctly.",False,220
open-mmlab/mmtracking,Computer Vision,mmtrack/datasets/mot_challenge_dataset.py,407,TEMP,Design Debt,P1_Data_Collection,# copy sequence file from ceph to local temporary directory,Code Debt,3,Temporary directory handling is hardcoded and may not be suitable for all environments.,False,221
facebookresearch/vissl,Computer Vision,tests/test_ema_hook.py,43,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as checkpoint_folder:,Test Debt,3,The use of a temporary directory in a test file may indicate a lack of proper cleanup or setup for the test environment.,False,222
facebookresearch/vissl,Computer Vision,tests/test_finetuning.py,283,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as pretrain_dir:,Code Debt,3,The use of a temporary directory in a test file may lead to code duplication and make the code harder to maintain.,False,223
open-mmlab/mmtracking,Computer Vision,mmtrack/apis/inference.py,52,TEMP,Design Debt,P3_Model_Development,tmp_file = tempfile.NamedTemporaryFile(delete=False),Code Debt,3,The use of TEMP keyword and delete=False in tmp_file = tempfile.NamedTemporaryFile(delete=False) may lead to file descriptor leaks or other issues if not properly handled.,False,224
facebookresearch/vissl,Computer Vision,tests/test_extract_features.py,108,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as extract_dir:,Code Debt,3,The use of a temporary directory in a test file may indicate a lack of proper cleanup or resource management.,False,225
facebookresearch/vissl,Computer Vision,tests/bench_vit_fsdp.py,205,TODO,Requirement Debt,P3_Model_Development,# TODO - add config with_mixed_precision,Configuration Debt,2,Missing configuration for mixed precision training may lead to performance issues or incorrect results.,False,226
facebookresearch/vissl,Computer Vision,tests/test_ibot.py,74,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as pretrain_dir:,Code Debt,3,The use of a temporary directory in a test file may lead to code duplication and make the code harder to maintain.,False,227
cleanlab/cleanlab,Computer Vision,tests/test_segmentation.py,346,TEMP,Design Debt,P3_Model_Development,"_get_label_quality_per_image(random_score_array, method=None, temperature=temp)",Code Debt,3,"The use of the keyword TEMP in the method parameter name suggests a temporary or hardcoded value, which may indicate a code smell or a potential issue with the model's temperature parameter.",False,228
facebookresearch/Detectron,Computer Vision,tools/infer.py,31,BUG,Defect Debt,P3_Model_Development,import cv2  # NOQA (Must import before importing caffe2 due to bug in cv2),Code Debt,3,"The code has a workaround for a bug in cv2, which may lead to maintenance issues in the future.",False,229
apple/ml-4m,Computer Vision,fourm/models/generate.py,1185,TEMP,Design Debt,P3_Model_Development,temp = schedule_step_info['temperature'],Code Debt,3,"The use of the keyword 'TEMP' and the variable 'temp' suggests a temporary or placeholder solution, indicating a potential code debt issue.",False,230
facebookresearch/vissl,Computer Vision,tests/bench_vit_fsdp.py,210,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary workaround for testing purposes, which may not be ideal for production code.",False,231
facebookresearch/vissl,Computer Vision,tests/test_extract_features.py,112,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Test Debt,3,"The use of with in_temporary_directory() suggests a temporary solution for testing, which may not be ideal for long-term maintainability.",False,232
open-mmlab/mmtracking,Computer Vision,mmtrack/datasets/mot_challenge_dataset.py,166,TEMP,Design Debt,P1_Data_Collection,tmp_dir = tempfile.TemporaryDirectory(),Code Debt,3,The use of a temporary directory with a hardcoded name 'tmp_dir' may lead to naming conflicts or unexpected behavior in a multi-threaded environment.,False,233
facebookresearch/vissl,Computer Vision,tests/test_dino_deit.py,11,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be scalable or maintainable in the long run.",False,234
apple/ml-4m,Computer Vision,fourm/models/generate.py,1146,TEMP,Design Debt,P3_Model_Development,"mod_dict, target_mod, num_select, temperature=temp, top_k=top_k, top_p=top_p,",Code Debt,3,"The use of the keyword 'TEMP' in the code suggests a temporary or hardcoded value, which may indicate a code smell or a potential issue with the model's temperature parameter.",False,235
open-mmlab/mmtracking,Computer Vision,mmtrack/apis/train.py,124,WORKAROUND,Design Debt,P3_Model_Development,# an ugly workaround to make .log and .log.json filenames the same,Code Debt,3,The workaround is an ad-hoc solution that may lead to code duplication or inconsistencies in the future.,False,236
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,134,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own log processor,Design Debt,3,The TODO comment indicates a design decision that needs to be revisited when the log processor is updated.,False,237
tryolabs/norfair,Computer Vision,norfair/drawing/draw_points.py,181,HACK,Design Debt,P3_Model_Development,# HACK add an alias to prevent error in the function below,Code Debt,3,"The use of a HACK comment indicates a temporary fix that may not be maintainable in the long term, suggesting a code debt issue.",False,238
open-mmlab/mmtracking,Computer Vision,mmtrack/core/__init__.py,4,NOQA,Test Debt,P3_Model_Development,"from .evaluation import *  # noqa: F401, F403",Code Debt,3,"The import statement is using noqa to suppress warnings, which can make the code harder to understand and maintain.",False,239
tryolabs/norfair,Computer Vision,norfair/drawing/color.py,258,TODO,Requirement Debt,P3_Model_Development,# TODO: validate?,Code Debt,3,"The TODO comment indicates a potential issue with the code's functionality, specifically the validation of the drawing color, which may lead to incorrect results or errors.",False,240
facebookresearch/vissl,Computer Vision,tests/test_lin_eval.py,10,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be ideal for long-term maintainability.",False,241
facebookresearch/Detectron,Computer Vision,tools/train_net.py,26,BUG,Defect Debt,P3_Model_Development,import cv2  # NOQA (Must import before importing caffe2 due to bug in cv2),Code Debt,3,"The code is importing cv2 before caffe2 due to a bug, which may lead to unexpected behavior or errors.",False,242
cleanlab/cleanlab,Computer Vision,cleanlab/version.py,140,BUG,Defect Debt,P3_Model_Development,# 0.0.13 - Major bug fix in finding label errors.,Defect Debt,4,A major bug fix indicates a significant defect in the code that affects the model's accuracy.,False,243
facebookresearch/vissl,Computer Vision,tests/test_finetuning.py,306,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary workaround for a potential issue, indicating a code debt related to a workaround or a quick fix.",False,244
open-mmlab/mmtracking,Computer Vision,tools/test.py,72,XXX,Design Debt,P3_Model_Development,"help='custom options for evaluation, the key-value pair in xxx=yyy '",Code Debt,3,The use of XXX as a placeholder for custom options may lead to confusion and maintenance issues if not properly documented or replaced with a more robust solution.,False,245
facebookresearch/vissl,Computer Vision,tests/test_knn.py,198,TODO,Requirement Debt,P3_Model_Development,# TODO - investigate: both KNN implementation have a bit of randomness,Code Debt,3,"The TODO comment suggests that the KNN implementation has randomness, which may affect model performance and requires investigation.",False,246
cleanlab/cleanlab,Computer Vision,tests/test_segmentation.py,331,TEMP,Design Debt,P3_Model_Development,temp = random.random(),Code Debt,3,The use of a temporary variable 'temp' with a random value is not clearly documented and may lead to confusion in the future.,False,247
facebookresearch/vissl,Computer Vision,tests/test_knn.py,17,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be ideal for a production-ready model.",False,248
facebookresearch/vissl,Computer Vision,tests/test_build_meters.py,9,NOQA,Test Debt,P3_Model_Development,"import vissl.meters  # noqa: F401,F811",Code Debt,3,"The import statement is commented out, indicating unused code, which can lead to technical debt and make the codebase harder to maintain.",False,249
apple/ml-4m,Computer Vision,fourm/demo_4M_sampler.py,318,TEMP,Design Debt,P3_Model_Development,"temps = [get_value(defaults, domain, 'temp') for domain in target_domains]",Code Debt,3,The use of the TEMP keyword and hardcoded logic in the temps variable suggests a lack of abstraction and potential for maintenance issues.,False,250
apple/ml-4m,Computer Vision,fourm/demo_4M_sampler.py,89,TEMP,Design Debt,P3_Model_Development,"'token_decoding_schedule': 'linear', 'temp': 0.01, 'temp_schedule': 'constant',",Code Debt,3,The use of a hardcoded temperature value (0.01) in the 'temp' parameter may not be easily adaptable to different model requirements or environments.,False,251
open-mmlab/mmdetection3d,Computer Vision,tools/test.py,48,XXX,Design Debt,P3_Model_Development,'in xxx=yyy format will be merged into config file. If the value to ',Configuration Debt,3,"The code is hardcoded with a specific format that will be merged into a config file, indicating a potential configuration debt.",False,252
facebookresearch/Detectron,Computer Vision,detectron/modeling/model_builder.py,344,TODO,Requirement Debt,P3_Model_Development,# TODO(rbg): fold this function into build_generic_detection_model,Design Debt,3,"The function is not being used as intended, indicating a design flaw in the model builder.",False,253
open-mmlab/mmdetection3d,Computer Vision,tools/train.py,75,TODO,Requirement Debt,P3_Model_Development,# TODO: We will unify the ceph support approach with other OpenMMLab repos,Design Debt,3,The codebase has a temporary solution (TODO comment) indicating a design decision that needs to be revisited for better maintainability and scalability.,False,254
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,106,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own scheduler,Design Debt,3,The TODO comment indicates a design decision that needs to be revisited when the mmdet3d scheduler is updated.,False,255
cleanlab/cleanlab,Computer Vision,cleanlab/filter.py,241,TODO,Requirement Debt,P3_Model_Development,# TODO - add support for these filters,Code Debt,3,"The TODO comment indicates a missing feature implementation, which is a code-level issue.",False,256
facebookresearch/vissl,Computer Vision,tests/test_extract_features.py,16,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be ideal for long-term maintainability.",False,257
facebookresearch/vissl,Computer Vision,tests/test_distillation.py,64,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as pretrain_dir:,Code Debt,3,The use of a temporary directory in a test file may lead to code duplication and make the test harder to maintain.,False,258
facebookresearch/vissl,Computer Vision,tests/test_distillation_swav.py,353,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary workaround for testing purposes, which may not be ideal for production code.",False,259
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,45,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own runner,Design Debt,3,The TODO comment indicates a design decision that needs to be revisited when the mmdet3d runner is updated.,False,260
facebookresearch/vissl,Computer Vision,tests/test_extract_features_utils.py,92,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as temp_dir:,Code Debt,3,The use of a temporary directory in a test file may indicate a lack of consideration for code organization and reusability.,False,261
facebookresearch/vissl,Computer Vision,tests/test_dino_deit_fsdp.py,192,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary workaround for testing purposes, which may not be ideal for production code.",False,262
open-mmlab/mmtracking,Computer Vision,mmtrack/core/__init__.py,7,NOQA,Test Debt,P3_Model_Development,"from .optimizer import *  # noqa: F401, F403",Code Debt,3,"The import statement is using noqa to suppress warnings, indicating a potential code smell or unnecessary import.",False,263
facebookresearch/vissl,Computer Vision,tests/test_distillation_swav.py,376,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary solution or workaround, potentially indicating technical debt in the codebase.",False,264
cleanlab/cleanlab,Computer Vision,cleanlab/multiannotator.py,800,TEMP,Design Debt,P3_Model_Development,"# do not temp scale for single annotator case, temperature is defined here for later use",Code Debt,3,"The code contains a temporary scaling logic that is commented out, indicating a potential refactoring opportunity to improve code organization and maintainability.",False,265
facebookresearch/vissl,Computer Vision,tests/test_distillation_dino.py,67,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory():,Code Debt,3,"The use of with in_temporary_directory() suggests a temporary workaround for testing purposes, which may not be ideal for production code.",False,266
open-mmlab/mmtracking,Computer Vision,configs/det/faster-rcnn_r50_fpn_4e_mot17-half.py,14,NOQA,Test Debt,P3_Model_Development,'http://download.openmmlab.com/mmdetection/v2.0/faster_rcnn/faster_rcnn_r50_fpn_2x_coco/faster_rcnn_r50_fpn_2x_coco_bbox_mAP-0.384_20200504_210434-a5d8aa15.pth'  # noqa: E501,Configuration Debt,2,The use of a hardcoded model path is not ideal for reproducibility and maintainability.,False,267
facebookresearch/vissl,Computer Vision,tests/test_dino_deit_fsdp.py,367,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as temp_dir:,Code Debt,3,"The use of a temporary directory in a test file may indicate a lack of proper cleanup or resource management, leading to potential issues in the codebase.",False,268
apple/ml-4m,Computer Vision,fourm/models/generate.py,1083,TEMP,Design Debt,P3_Model_Development,"mod_dict, target_mod, temperature=temp, top_k=top_k, top_p=top_p,",Code Debt,3,"The use of the keyword 'TEMP' suggests a temporary or hardcoded value, which may indicate a code smell or a potential issue with the model's temperature parameter.",False,269
apple/ml-4m,Computer Vision,fourm/demo_4M_sampler.py,55,TEMP,Design Debt,P3_Model_Development,"'token_decoding_schedule': None, 'temp': 0.3, 'temp_schedule': 'constant',",Code Debt,3,The use of a hardcoded temperature value (0.3) in the 'temp' parameter may not be easily adaptable to different model requirements or experimental settings.,False,270
cleanlab/cleanlab,Computer Vision,cleanlab/internal/multiannotator_utils.py,339,TEMP,Design Debt,P3_Model_Development,"temp: float,",Code Debt,3,The use of 'temp' as a parameter name is not descriptive and may cause confusion in the future.,False,271
cleanlab/cleanlab,Computer Vision,cleanlab/filter.py,206,TODO,Requirement Debt,P3_Model_Development,]  # TODO: change default to confident_learning ?,Code Debt,3,"The TODO comment indicates a need to refactor or update the default value in the confident_learning function, which is a code-level issue.",False,272
tryolabs/norfair,Computer Vision,norfair/drawing/drawer.py,350,TODO,Requirement Debt,P3_Model_Development,# TODO: TrackedObject.scores could be an interesting thing to have,Code Debt,3,"The TODO comment suggests a potential improvement to the TrackedObject.scores functionality, indicating a need for refactoring or optimization.",False,273
apple/ml-4m,Computer Vision,fourm/data/multimodal_dataset_folder.py,208,XXX,Design Debt,P1_Data_Collection,root/modality_b/class_x/xxx.ext,Code Debt,3,"The use of XXX in the file path may indicate a hardcoded or magic value, which can make the code harder to maintain and understand.",False,274
albumentations-team/autoalbument,Computer Vision,autoalbument/cli/lib/config_builder.py,64,NOQA,Test Debt,P3_Model_Development,except:  # noqa E722,Code Debt,2,The use of noqa E722 is a code debt as it indicates a deviation from the standard Python style guide.,False,275
open-mmlab/mmtracking,Computer Vision,demo/demo_mot_vis.py,52,TEMP,Design Debt,P3_Model_Development,out_dir = tempfile.TemporaryDirectory(),Code Debt,3,"The use of tempfile.TemporaryDirectory() is not properly cleaned up, potentially leading to resource leaks.",False,276
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,94,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own optimizer,Design Debt,3,"The TODO comment indicates a design decision that needs to be revisited when mmdet3d has its own optimizer, affecting the overall architecture.",False,277
apple/ml-4m,Computer Vision,fourm/models/generate.py,1215,TEMP,Design Debt,P3_Model_Development,"uncond_dict, cond_dicts, cond_weights, target_mod, num_select, temp, top_k, top_p, seed=seed",Code Debt,3,"The use of the keyword TEMP in the function parameters suggests a temporary or experimental implementation, which may not be properly refactored or cleaned up, leading to technical debt.",False,278
open-mmlab/mmtracking,Computer Vision,mmtrack/core/__init__.py,5,NOQA,Test Debt,P3_Model_Development,"from .hook import *  # noqa: F401, F403",Code Debt,3,The import statement from .hook import * is not explicit and may lead to naming conflicts or circular imports.,False,279
facebookresearch/Detectron,Computer Vision,tools/convert_cityscapes_to_coco.py,54,TODO,Requirement Debt,P3_Model_Development,"combine with other labels from original COCO that will be a TODO.""""""",Code Debt,3,"The TODO comment indicates a missing implementation step in the code, which is a code debt issue.",False,280
apple/ml-4m,Computer Vision,fourm/models/generate.py,1159,TEMP,Design Debt,P3_Model_Development,"mod_dict, target_mod, temperature=temp, top_k=top_k, top_p=top_p,",Code Debt,3,"The use of the keyword 'TEMP' in the code suggests a hardcoded or temporary value, which may not be suitable for production use.",False,281
facebookresearch/vissl,Computer Vision,tests/test_dino_xcit.py,11,TEMP,Design Debt,P3_Model_Development,"in_temporary_directory,",Test Debt,3,"The use of in_temporary_directory suggests a temporary solution for testing, which may not be ideal for a production-ready model.",False,282
apple/ml-4m,Computer Vision,fourm/utils/checkpoint.py,34,WORKAROUND,Design Debt,P3_Model_Development,Workaround for ModelEma._load_checkpoint to accept an already-loaded object,Model Stack Workaround Debt,3,"The workaround is necessary to accommodate an already-loaded object in ModelEma._load_checkpoint, indicating a temporary fix to an underlying design or implementation issue.",False,283
open-mmlab/mmtracking,Computer Vision,mmtrack/datasets/mot_challenge_dataset.py,382,TEMP,Design Debt,P1_Data_Collection,local_dir = tempfile.TemporaryDirectory(),Code Debt,3,The use of tempfile.TemporaryDirectory() for local_dir may not be suitable for production environments and could lead to issues with data persistence.,False,284
facebookresearch/vissl,Computer Vision,tests/test_dino_swin_t.py,81,TEMP,Design Debt,P3_Model_Development,with in_temporary_directory() as pretrain_dir:,Code Debt,3,"The use of a temporary directory in a test file may indicate a lack of proper cleanup or resource management, leading to potential issues in the long run.",False,285
open-mmlab/mmdetection3d,Computer Vision,configs/_base_/default_runtime.py,23,TODO,Requirement Debt,P3_Model_Development,# TODO: support auto scaling lr,Performance Optimization Debt,4,"The TODO comment suggests that the learning rate scaling is not optimized, which can impact model performance.",False,286
cleanlab/cleanlab,Computer Vision,tests/test_filter_count.py,1119,TODO,Requirement Debt,P3_Model_Development,# TODO: consider also testing this line without psutil installed,Test Debt,3,"The TODO comment indicates a missing test case, which is a common issue in Test Debt.",False,287
apple/ml-4m,Computer Vision,fourm/models/generate.py,281,TEMP,Design Debt,P3_Model_Development,"temp_schedule = linear_temp_schedule(temp, token_schedule)",Code Debt,3,"The use of a temporary variable 'temp_schedule' suggests a quick fix without proper refactoring, indicating a potential code debt issue.",False,288
